Start date;End date;Balancing services [€] Original resolutions;Network security of the TSOs [€] Original resolutions;Countertrading [€] Original resolutions
Jan 1, 2023;Feb 1, 2023;71,578,546.31;398,275,875.99;17,519,420.07
Feb 1, 2023;Mar 1, 2023;40,835,671.81;336,263,255.21;19,384,916.81
Mar 1, 2023;Apr 1, 2023;71,751,158.39;299,891,586.33;16,184,262.39
Apr 1, 2023;May 1, 2023;82,581,492.42;217,050,506.56;17,818,622.42
May 1, 2023;Jun 1, 2023;61,944,912.17;127,817,685.10;18,333,011.12
Jun 1, 2023;Jul 1, 2023;129,689,373.23;75,727,294.88;5,596,924.18
Jul 1, 2023;Aug 1, 2023;181,420,199.88;216,196,421.88;10,468,820.84
Aug 1, 2023;Sep 1, 2023;79,916,844.91;113,904,131.52;24,797,471.06
Sep 1, 2023;Oct 1, 2023;67,944,561.03;135,954,700.36;12,792,563.85
Oct 1, 2023;Nov 1, 2023;81,892,308.16;285,795,786.76;24,808,192.41
Nov 1, 2023;Dec 1, 2023;57,894,084.54;178,856,008.22;5,815,426.94
Dec 1, 2023;Jan 1, 2024;-;215,485,530.36;3,216,814.21
Jan 1, 2024;Feb 1, 2024;47,172,268.18;213,025,540.53;4,813,198.91
Feb 1, 2024;Mar 1, 2024;25,406,723.70;152,679,941.86;4,523,476.94
Mar 1, 2024;Apr 1, 2024;39,150,250.92;67,263,978.33;4,801,241.06
Apr 1, 2024;May 1, 2024;80,295,366.96;86,676,796.61;3,310,949.67
May 1, 2024;Jun 1, 2024;86,165,450.36;179,803,507.35;7,247,698.23
Jun 1, 2024;Jul 1, 2024;123,945,919.79;91,769,588.50;10,101,532.11
Jul 1, 2024;Aug 1, 2024;85,719,479.66;44,660,265.49;4,243,775.38
Aug 1, 2024;Sep 1, 2024;86,137,893.37;76,115,270.94;7,477,725.75
Sep 1, 2024;Oct 1, 2024;81,542,868.58;178,659,696.09;4,216,890.15
Oct 1, 2024;Nov 1, 2024;62,175,932.70;164,937,017.04;8,154,857.14
Nov 1, 2024;Dec 1, 2024;58,207,677.22;215,754,932.12;13,492,731.25
Dec 1, 2024;Jan 1, 2025;70,957,612.09;326,709,147.72;18,066,137.04
Jan 1, 2025;Feb 1, 2025;-;-;-
Feb 1, 2025;Mar 1, 2025;-;-;-
Mar 1, 2025;Apr 1, 2025;-;-;-
